isin,company_name,category,corrected_from_rev1
INE285K01026,TECHNO ELECTRIC & ENGINEERIN,Owner,
INE288B01029,DEEPAK NITRITE LTD,Owner,
INE290S01011,CARTRADE TECH LTD,Professional,
INE296A01032,BAJAJ FINANCE LTD,Owner,
INE298A01020,CUMMINS INDIA LTD,MNC,
INE298J01013,NIPPON LIFE INDIA ASSET MANA,MNC,
INE299U01018,CROMPTON GREAVES CONSUMER EL,Professional,
INE301A01014,RAYMOND LTD,Owner,
INE302A01020,EXIDE INDUSTRIES LTD,Owner,
INE303R01014,KALYAN JEWELLERS INDIA LTD,Owner,
INE306A01021,BAJAJ HINDUSTHAN SUGAR LTD,Owner,
INE306R01017,INTELLECT DESIGN ARENA LTD,Owner,
INE317I01021,METRO BRANDS LTD,Owner,
INE318A01026,PIDILITE INDUSTRIES LTD,Owner,
INE320J01015,RITES LTD,State,
INE322A01010,GILLETTE INDIA LTD,MNC,
INE323A01026,BOSCH LTD,MNC,
INE324A01032,JINDAL SAW LTD,Owner,
INE325A01013,TIMKEN INDIA LTD,MNC,
INE326A01037,LUPIN LTD,Owner,
INE331A01037,RAMCO CEMENTS LTD/THE,Owner,
INE334L01012,UJJIVAN FINANCIAL SERVICES L,Professional,
INE335A01020,SURYA ROSHNI LTD,Owner,
INE335Y01020,INDIAN RAILWAY CATERING & TO,State,
INE338H01029,CONCORD BIOTECH LTD,Owner,
INE338I01027,MOTILAL OSWAL FINANCIAL SERV,Owner,
INE340A01012,BIRLA CORP LTD,Owner,
INE342J01019,ZF COMMERCIAL VEHICLE CONTRO,MNC,
INE343B01030,RAJESH EXPORTS LTD,Owner,
INE343H01029,SOLAR INDUSTRIES INDIA LTD,Owner,
INE347G01014,PETRONET LNG LTD,State,
INE348A01023,ASHAPURA MINECHEM LTD,Owner,
INE348B01021,CENTURY PLYBOARDS INDIA LTD,Owner,
INE349A01021,NRB BEARINGS LTD,Owner,
INE349Y01013,IDEAFORGE TECHNOLOGY LTD,Owner,
INE351F01018,JAIPRAKASH POWER VENTURES LT,Owner,
INE356A01018,MPHASIS LTD,Professional,
INE358A01014,ABBOTT INDIA LTD,MNC,
INE361B01024,DIVI'S LABORATORIES LTD,Owner,
INE364U01010,ADANI GREEN ENERGY LTD,Owner,
INE366I01010,VRL LOGISTICS LTD,Owner,
INE371A01025,GRAPHITE INDIA LTD,Owner,
INE371P01015,AMBER ENTERPRISES INDIA LTD,Owner,
INE372A01015,APAR INDUSTRIES LTD,Owner,
INE376G01013,BIOCON LTD,Owner,
INE377N01017,WAAREE ENERGIES LTD,Owner,
INE382Z01011,GARDEN REACH SHIPBUILDERS &,State,
INE383A01012,INDIA CEMENTS LTD,Owner,
INE385W01011,DISHMAN CARBOGEN AMCIS LTD,Owner,
INE386C01029,ASTRA MICROWAVE PRODUCTS LTD,Owner,
INE388G01026,TWAMEV CONSTRUCTION AND INFR,Owner,Professional
INE388Y01029,FSN E-COMMERCE VENTURES LTD,Owner,
INE389H01022,KEC INTERNATIONAL LTD,Owner,
INE391J01032,JTL INDUSTRIES LTD,Owner,
INE395N01027,TVS SUPPLY CHAIN SOLUTIONS L,Owner,
INE397D01024,BHARTI AIRTEL LTD,Owner,
INE398A01010,VENKY'S (INDIA) LTD,Owner,
INE398R01022,SYNGENE INTERNATIONAL LTD,Owner,
INE399G01023,RAMKRISHNA FORGINGS LTD,Owner,
INE399K01017,RATTANINDIA POWER LTD,Owner,
INE399L01023,ADANI TOTAL GAS LTD,Owner,
INE404A01024,ADITYA BIRLA SUN LIFE AMC LT,Owner,
INE405E01023,UNO MINDA LTD,Owner,
INE406A01037,AUROBINDO PHARMA LTD,Owner,
INE406M01024,ERIS LIFESCIENCES LTD,Owner,
INE410B01037,VINATI ORGANICS LTD,Owner,
INE410P01011,NARAYANA HRUDAYALAYA LTD,Owner,
INE414G01012,MUTHOOT FINANCE LTD,Owner,
INE415A01038,AGI GREENPAC LTD,Owner,
INE415G01027,RAIL VIKAS NIGAM LTD,State,
INE417T01026,PB FINTECH LTD,Professional,
INE418L01047,NAZARA TECHNOLOGIES LTD,Owner,
INE419U01012,HAPPIEST MINDS TECHNOLOGIES,Owner,
INE421D01022,CCL PRODUCTS INDIA LTD,Owner,
INE423A01024,ADANI ENTERPRISES LTD,Owner,
INE423Y01016,SBFC FINANCE LTD,Professional,
INE424H01027,SUN TV NETWORK LTD,Owner,
INE425B01027,BRIGHTCOM GROUP LTD,Owner,
INE427F01016,CHALET HOTELS LTD,Owner,
INE428Q01011,SURYODAY SMALL FINANCE BANK,Owner,
INE429E01023,SAFARI INDUSTRIES INDIA LTD,Owner,
INE437A01024,APOLLO HOSPITALS ENTERPRISE,Owner,
INE438A01022,APOLLO TYRES LTD,Owner,
INE439A01020,ASAHI INDIA GLASS LTD,Owner,
INE442H01029,ASHOKA BUILDCON LTD,Owner,
INE450U01017,ROUTE MOBILE LTD,Owner,
INE451A01017,FORCE MOTORS LTD,Owner,
INE452O01016,FUTURE LIFESTYLE FASHIONS LT,Owner,
INE455F01025,JAIPRAKASH ASSOCIATES LTD,Owner,
INE455I01029,KAVERI SEED CO LTD,Owner,
INE455K01017,POLYCAB INDIA LTD,Owner,
INE457A01014,BANK OF MAHARASHTRA,State,
INE457L01029,PG ELECTROPLAST LTD,Owner,
INE461D01028,HLE GLASCOAT LTD,Owner,
INE462A01022,BAYER CROPSCIENCE LTD,MNC,
INE463A01038,BERGER PAINTS INDIA LTD,Owner,
INE463V01026,ANAND RATHI WEALTH LTD,Owner,
INE465A01025,BHARAT FORGE LTD,Owner,
INE466L01038,360 ONE WAM LTD,Owner,
INE467B01029,TATA CONSULTANCY SVCS LTD,Professional,
INE470A01017,3M INDIA LTD,MNC,
INE470Y01017,NEW INDIA ASSURANCE CO LTD/T,State,
INE472A01039,BLUE STAR LTD,Owner,
INE473A01011,LINDE INDIA LTD,MNC,
INE473B01035,HATSUN AGRO PRODUCT LTD,Owner,
INE474Q01031,GLOBAL HEALTH LTD/INDIA,Owner,
INE476A01022,CANARA BANK,State,
INE477A01020,CAN FIN HOMES LTD,State,
INE481G01011,ULTRATECH CEMENT LTD,Owner,
INE481N01025,HOME FIRST FINANCE CO INDIA,Professional,
INE481Y01014,GENERAL INS CORP OF INDIA,State,
INE482A01020,CEAT LTD,Owner,
INE483A01010,CENTRAL BANK OF INDIA,State,
INE483C01032,TANLA PLATFORMS LTD,Owner,
INE484J01027,GODREJ PROPERTIES LTD,Owner,
INE485C01029,IOL CHEMICALS AND PHARMA LTD,Owner,
INE486A01021,CESC LTD,Owner,
INE488A01050,CHEMPLAST SANMAR LTD,Owner,
INE490G01020,MOIL LTD,State,
INE491A01021,CITY UNION BANK LTD,Professional,
INE493A01027,TATA COFFEE LTD,Professional,
INE494B01023,TVS MOTOR CO LTD,Owner,
INE495A01022,DALMIA BHARAT SUGAR & INDUST,Owner,
INE495B01038,SUVEN LIFE SCIENCES LTD,Owner,
INE499A01024,DCM SHRIRAM LTD,Owner,
INE501A01019,DEEPAK FERTILISERS & PETRO,Owner,
INE503A01015,DCB BANK LTD,Professional,
INE508G01029,TIME TECHNOPLAST LTD,Owner,
INE510A01028,ENGINEERS INDIA LTD,State,
INE511C01022,POONAWALLA FINCORP LTD,Owner,
INE513A01022,SCHAEFFLER INDIA LTD,MNC,
INE516A01017,UFLEX LTD,Owner,
INE517B01013,TATA TELESERVICES MAHARASHTR,Professional,
INE517F01014,GUJARAT PIPAVAV PORT LTD,MNC,
INE520A01027,ZENSAR TECHNOLOGIES LTD,Owner,
INE522D01027,MANAPPURAM FINANCE LTD,Owner,
INE522F01014,COAL INDIA LTD,State,
INE524A01029,GABRIEL INDIA LTD,Owner,
INE528G01035,YES BANK LTD,Professional,
INE530B01024,IIFL FINANCE LTD,Owner,
INE531A01024,KANSAI NEROLAC PAINTS LTD,MNC,
INE531E01026,HINDUSTAN COPPER LTD,State,
INE532F01054,EDELWEISS FINANCIAL SERVICES,Owner,
INE536H01010,CIE AUTOMOTIVE INDIA LTD,MNC,
INE539A01019,GHCL LTD,Owner,
INE540H01012,VOLTAMP TRANSFORMERS LTD,Owner,
INE540L01014,ALKEM LABORATORIES LTD,Owner,
INE541A01023,GMM PFAUDLER LTD,Owner,
INE545A01024,HEG LTD,Owner,
INE545U01014,BANDHAN BANK LTD,Owner,
INE548A01028,HFCL LTD,Owner,
INE548C01032,EMAMI LTD,Owner,
INE549A01026,HINDUSTAN CONSTRUCTION CO,Owner,
INE551W01018,UJJIVAN SMALL FINANCE BANK L,Professional,
INE559R01029,LANDMARK CARS LTD,Owner,
INE562A01011,INDIAN BANK,State,
INE565A01014,INDIAN OVERSEAS BANK,State,
INE570A01022,ION EXCHANGE (INDIA) LTD,Owner,
INE571A01038,IPCA LABORATORIES LTD,Owner,
INE572A01036,J.B. CHEMICALS & PHARMA LTD,Professional,
INE572E01012,PNB HOUSING FINANCE LTD,Professional,
INE572J01011,SPANDANA SPHOORTY FINANCIAL,Owner,
INE573A01042,JK TYRE & INDUSTRIES LTD,Owner,
INE575P01011,STAR HEALTH & ALLIED INSURAN,Professional,
INE576O01020,LAXMI ORGANIC INDUSTRIES LTD,Owner,
INE584A01023,NMDC LTD,State,
INE585B01010,MARUTI SUZUKI INDIA LTD,MNC,
INE586V01016,TCI EXPRESS LTD,Owner,
INE589A01014,NLC INDIA LTD,State,
INE591G01025,COFORGE LIMITED,MNC,
INE596I01020,COMPUTER AGE MANAGEMENT SERV,Professional,
INE597J01018,SHALBY LTD,Owner,
INE599M01018,JUST DIAL LTD,Owner,
INE600K01018,GALAXY SURFACTANTS LTD,Owner,
INE600L01024,DR LAL PATHLABS LTD,Owner,
INE602A01031,PCBL CHEMICAL LTD,Owner,
INE602W01027,SENCO GOLD LTD,Owner,
INE603A01013,PRAKASH INDUSTRIES LTD,Owner,
INE603J01030,PI INDUSTRIES LTD,Owner,
INE608A01012,PUNJAB & SIND BANK,State,
INE614B01018,KARNATAKA BANK LTD,Professional,
INE614G01033,RELIANCE POWER LTD,Owner,
INE615H01020,TITAGARH RAIL SYSTEM LTD,Owner,
INE615I01010,GLOBUS SPIRITS LTD,Owner,
INE615P01015,QUESS CORP LTD,Owner,
INE619A01035,PATANJALI FOODS LTD,Owner,
INE621H01010,RELIGARE ENTERPRISES LTD,Professional,
INE621L01012,TEXMACO RAIL & ENGINEERING L,Owner,
INE624Z01016,SOLARA ACTIVE PHARMA SCIENCE,Owner,
INE628A01036,UPL LTD,Owner,
INE634I01029,KNR CONSTRUCTIONS LTD,Owner,
INE634S01028,MANKIND PHARMA LTD,Owner,
INE640A01023,SKF INDIA LTD,MNC,
INE645S01024,ROLEX RINGS LTD,Owner,
INE646L01027,INTERGLOBE AVIATION LTD,Owner,
INE647A01010,SRF LTD,Owner,
INE647O01011,ADITYA BIRLA FASHION AND RET,Owner,
INE660A01013,SUNDARAM FINANCE LTD,Owner,
INE663F01032,INFO EDGE INDIA LTD,Owner,
INE665L01035,VARROC ENGINEERING LTD,Owner,
INE666D01022,BOROSIL RENEWABLES LTD,Owner,
INE668A01016,TAMILNAD MERCANTILE BANK,Professional,
INE668F01031,JYOTHY LABS LTD,Owner,
INE669C01036,TECH MAHINDRA LTD,Owner,
