symbol,company_name,isin,report_date,promoter_total_pct,hufi_num,hufi_pct,nri_num,nri_pct,dir_num,dir_pct,kmp_num,kmp_pct,rel_num,rel_pct,trust_num,trust_pct,natural_num_sum,natural_pct_sum,other_indian_pct,other_foreign_pct,foreign_non_govt_pct,govt_pct,promoter_names_full_list,owner_flag,ai_review_needed,owner_flag_ai,ai_confidence,ai_reasoning,owner_flag_final,nse_fetch_status
AAVAS,,INE216P01012,2025-12-31,48.95,0,0.0,0,0.0,1,0.0,2,0.93,0,0.0,0,0.0,3,0.93,0.0,48.95,48.95,0.0,Aquilo Universe Pte. Ltd.|Aquilo House Pte. Ltd.,owner_confirmed_director_only,False,,,,OWNER,ok
ABB,,INE117A01022,2025-12-31,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,75.0,75.0,0.0,ABB NORDEN HOLDING AB|ABB Asea Brown Boveri Limited,ambiguous_holding_foreign,True,ai_mnc,0.99,ABB Asea Brown Boveri Limited + ABB NORDEN HOLDING AB = スイス多国籍企業 ABB の 100% 子会社,NOT_OWNER,ok
ABBOTINDIA,,INE358A01014,2018-12-31,74.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,74.99,74.99,0.0,BRITISH COLLOIDS LIMITED|ABBOTT HEALTHCARE PRODUCTS LIMITED|ABBOTT CAPITAL INDIA LIMITED,ambiguous_holding_foreign,True,ai_mnc,0.98,"Abbott Laboratories (USA) の完全子会社。promoter 100% foreign (Abbott Capital India, Abbott Healthcare Products, British Colloids)。創業家支配なし",NOT_OWNER,ok
ABCAPITAL,,INE674K01013,2026-03-31,68.51,5,0.13,0,0.0,7,0.03,1,0.02,0,0.0,0,0.0,13,0.18,65.66,2.72,2.72,0.0,VIKRAM HOLDINGS PVT LTD|VAIBHAV HOLDINGS PRIVATE LIMITED|RENUKA INVESTMENTS AND FINANCE LIMITED|RAJRATNA HOLDINGS PRIVATE LIMITED|PILANI INVESTMENT AND INDUSTRIES|IGH HOLDINGS PRIVATE LIMITED|HINDALCO INDUSTRIES LIMITED|GRASIM INDUSTRIES LIMITED|ESSEL MINING & INDUSTRIES LTD|ECE INDUSTRIES LTD.|BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE|BIRLA INDUSTRIAL INVESTMENTS INDIA LIMITED|BIRLA INDUSTRIAL FINANCE  INDIA LIMITED|BIRLA GROUP HOLDINGS PRIVATE LIMITED|BIRLA CONSULTANTS LIMITED|Thai Rayon Public Company Limited|Surya Kiran Investments Pte Limited|P.T. Indo Bharat Rayon|P T elegant Textile Industry|P T Sunrise Bumi Textiles|VASAVADATTA BAJAJ|RAJASHREE BIRLA|NEERJA BIRLA|KUMAR MANGALAM BIRLA|ADITYA VIKRAM KUMARMANGALAM BIRLA HUF . (KARTA - KUMAR MANGALAM BIRLA),owner_confirmed_individual_and_director,False,,,,OWNER,ok
ABDL,,INE552Z01027,2025-12-31,80.91,3,77.6,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,5,77.6,3.31,0.0,0.0,0.0,Woodpecker Properties Private Limited|Woodpecker Investments Private Limited|Tripureshwari Properties Private Limited|Tracstar Investments Private Limited|Tracstar Distilleries Private Limited|Sureshwar Realtors Private Limited|Starvoice Trading Private Limited|Starvoice Properties Private Limited|Starvoice Investments Private Limited|Someswar Realtors Private Limited|Shree Emati Investment Private Limited|Sangmeshwar Realtors Private Limited|S T Holdings Private Limited|Royal Spirits Private Limited|Resham Family Trust|Rayonyarns Import Company Private Limited|Ranibai Realtors Private Limited|Rajaram Properties Private Limited|Raja Radios - Proprietorship concern|Power Brands Enterprises India Private Limited|Oriental Radios Pvt Ltd|Officers Choice Spirits Private Limited|Netravathi Estates Private Limited|Neesha Family Trust|Nebraska Enterprises Private Limited|Matangi Realtors Private Limited|Marleshwar Properties Private Limited|Marengo Trading And Properties Private Limited|Marengo Investment & Trading Company Private Limited|Manoharlal Realtors Private Limited|Madhvi Properties Private Limited|Luminary Properties Private Limited|Lajwanti Properties Private Limited|Lachmandas Properties Private Limited|Krabon Enterprises Private Limited|Kedareshwar Properties Private Limited|Kartik Finance And Investments Private Limited|Karbon Enterprises Private Limited|Kapardi Finvest Private Limited|Kamla Realtors Private Limited|Jive Properties And Trading Company Private Limited|Iconiq Spirits India Private Limited|Iconiq Brands India Private Limited|Giribala Properties Private Limited|Dropadi Estates Private Limited|Borank Ventures LLP|Borank Enterprises Private Limited|Bina Chhabria Enterprises Private Limited|Benco Properties Private Limited|Ballet Properties And Trading Private Limited|BKC Trading Private Limited|BKC Family Trust – II|BKC Family Trust – I|BKC Estates Private Limited|BKC Enterprises Private Limited|BKC Dwellings Private Limited|BKC Abode Private Limited|BDA Private Limited|Ashoka Liquors Private Limited|Amar Ghanasingh (Partnership Concern)|ABD Realtors Private Limited|ABD Homes Private Limited|ABD Estates Private Limited|A. G. Hospitality|Shyam Luthria|Resham Chhabria J Hemdev|Rajni K Chhabria|Preeti Shah|Om Jeetendra Hemdev|Neesha Kishore Chhabria|Kishore Rajaram Chhabria|Jeetendra A Hemdev|Bina Kishore Chhabria|Anju Amar Hemdev|Amar Ghanasingh Hemdev,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ABFRL,,INE647O01011,2025-12-31,46.61,6,0.21,0,0.0,1,0.04,1,0.01,0,0.0,0,0.0,8,0.26,46.4,0.0,0.0,0.0,Pilani Investment And Industries|Igh Holdings Private Limited|Hindalco Industries Limited|Grasim Industries Ltd|ECE Industries Limited|Birla Industrial Investments India Limited|Birla Industrial Finance  India Limited|Birla Group Holdings Private Limited|Birla Consultants Limited|Abnl Investment Limited|Vasavadatta Bajaj|Rajashree Birla|Neerja Birla|Kumar Mangalam Birla|Aryaman Vikram Birla|Aditya Vikram Kumarmangalam Birla Huf .,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ABLBL,,INE14LE01019,2025-12-31,46.6,6,0.2,0,0.0,2,0.07,0,0.0,0,0.0,0,0.0,8,0.27,46.4,0.0,0.0,0.0,Pilani Investment And Industries|Igh Holdings Private Limited|Hindalco Industries Limited|Grasim Industries Ltd|ECE Industries|Birla Industrial Investments India Limited|Birla Industrial Finance  India Limited|Birla Group Holdings Private Limited|Birla Consultants Limited|Abnl Investment Limited|Vasavadatta Bajaj|Rajashree Birla|Neerja Birla|Kumar Mangalam Birla|Aditya Vikram Kumarmangalam Birla HUF|ARYAMAN VIKRAM BIRLA,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ABREL,,INE055A01016,2025-12-31,50.21,0,0.0,0,0.0,4,0.01,2,0.0,0,0.0,0,0.0,6,0.01,50.21,0.0,0.0,0.01,Prakash Educational Society|Pilani Investment and Industries Corporation Limited|Padmavati Investment Private Limited|IGH Holdings Private Limited|Birla Group Holdings Private Limited|Birla Educational Institution|Estate of Basant Kumar Birla,owner_confirmed_director_only,False,,,,OWNER,ok
ABSLAMC,,INE404A01024,2026-03-31,74.82,2,0.0,0,0.0,1,0.01,0,0.0,1,0.0,0,0.0,4,0.01,44.89,29.93,29.93,0.03,ADITYA BIRLA CAPITAL LIMITED|SUN LIFE (INDIA) AMC INVESTMENTS INC|NEERJA BIRLA|KUMAR MANGALAM BIRLA,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ACC,,INE012A01025,2026-03-31,56.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50.05,6.64,6.64,0.15,AMBUJA CEMENTS LIMITED|HOLDERIND INVESTMENTS LTD|ENDEAVOUR TRADE AND INVESTMENT LIMITED,ambiguous_holding_indian,True,ai_owner,0.85,Adani group (Gautam Adani family) が Holderind/Endeavour 外国 holding 経由 + Ambuja Cements 経由で支配,OWNER,ok
ACE,,INE731H01025,2025-12-31,65.42,5,65.42,0,0.0,0,0.0,1,0.0,1,0.02,0,0.0,7,65.44,0.0,0.0,0.0,0.0,VIJAY AGARWAL|SURBHI GARG|SORAB AGARWAL|MONA AGARWAL|ANURADHA GARG,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ACI,,INE128X01021,2025-12-31,53.43,1,22.9,0,0.0,2,0.11,0,0.0,0,0.0,0,0.0,3,23.01,30.53,0.0,0.0,0.0,Chemikas Speciality Llp|Ravi P|Ranjit P,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ACMESOLAR,,INE622W01025,2025-12-31,83.29,2,0.0,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,5,0.0,83.29,0.0,0.0,0.0,Yogesh Power Private Limited|VRS INFOTECH PVT LTD (Nominee of ACSPL)|Upadhyay Financial Ventures LLP|Upadhyay Family Trust|Sunworld Innovations Private Limited|Shakrish Healthcare LLP|Scoria Power Private Limited|Sampkarya Services Private Limited|SMSW Lab & Research Centre LLP|Renewtech Real Estate Private Limited|Moolchand Industrial Estate Private Limited|Mahisagar Power Private Limited|MKU HOLDINGS PVT LTD (Nominee of ACSPL)|Dubey Energy Private Limited|Dayanidhi Realty Private Limited|Banola Power Private Limited|ACME Wind Power (TENKASI) Pvt. Ltd. (formerly known as Reliance Big Pvt Ltd)|ACME Wind Power (TENKASI) One Pvt. Ltd. (formerly known as Reliance Infrastructure Consulting and Engineers Pvt Ltd)|ACME NU Technologies Private Limited|ACME NU Renewables Private Limited|ACME NU Industries Private Limited|ACME NU Energy Storage Solution Private Limited|ACME Greentech Urja Private Limited|ACME Greentech Foods Private Limited|ACME Green Metals Private Limited|ACME Green Hydrogen and Chemicals Private Ltd|ACME Green Hydrogen Two Private Limited|ACME Green Hydrogen One Private Limited|ACME Global Green Hydrogen Private Limited|ACME Delta Urja Private Limited|ACME Clean Energy Private Limited|ACME CLEANTECH SOLUTIONS PVT LTD|ACME Akshay Energy Private Limited|Sustainable Superfoods (UK) Pvt Ltd|Oman Green Solutions (UK) Pvt Ltd|Oman Green Hydrogen & Chemicals (UK) Pvt Ltd|Gulf Energy Tech FZE|Green Hydrogen and Chemicals SAOC|ESF Equipment Trading FZCO|CleanTech Solutions LLC|Acme Tele Power (Mauritius) Pvt Ltd|Acme GreenTech Ventures FZCO|ACME Services (Tanzania) Limited|ACME GreenTech Ventures LLC|ACME GreenTech Ventures Americas Inc.|ACME Green Hydrogen One LLC|ACME Green Hydrogen & Chemicals (UK) Pvt Ltd|ACME Cleantech Ventures (UK) Pvt Ltd|Namrata Mishra|Shel Kumari|Ram Bilash Mishra|Pratima Mishra|Pragya Mishra|Neelam Pandey|Medha Upadhyay|MANOJ KUMAR UPADHYAY (Nominee of ACSPL)|MAMTA UPADHYAY (Nominee of ACSPL)|Krishna Milan Upadhyay|Bhawana Mishra|Aum Upadhyay,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ACUTAAS,,INE00FF01025,2025-12-31,32.66,3,32.66,0,0.0,2,0.81,2,0.0,0,0.0,0,0.0,7,33.47,0.0,0.0,0.0,0.01,Wide Horizon Ventures LLP|VAGHASIA FAMILY TRUST|TERASPIKE SOLAR ENERGIES LLP|TERASPIKE RENEWABLES ENERGY LLP|TERASPIKE GREEN ENERGY LLP|Rahil Infrastructure LLP|Radha Krishna Textiles|PATEL AND VAGHASIA FAMILY TRUST|Hare Krsihna Impex|Hare Krishna Bath Fittings LLP|Globe Bio Care|GREENSPIKE ENERGY PVT LTD|Carbon Square|Alkoxide Fine Chem Private Limited|ANVVAYA BIOLOGICS PRIVATE LIMITED|SHEETALBEN N PATEL|PARULBEN VAGHASIA|Nairit Chetankumar Vaghasia|Krushang Nareshkumar Vaghasia|Jainul Nareshkumar Vaghasia|ADHYAN VAGHASIA|Zumbeshkumar R Patel|Vipulkumar Fulabhai Rakholiya HUF|Vijaybhai Gordhanbhai Dayani|Vaghasia Chetankumar Chhaganlal|Smita Sanjaykumar Thummer|Shardaben Bhikabhai Gevariya|Sanketkumar R Patel|Sanjaykumar Ramnikbhai Thummer HUF|Ramjibhai Limbabhai Patel|Nitaben Jigneshkumar Patel|Nareshkumar Ramjibhai Patel|Mukeshkumar Chhaganbhai Vaghasia|Minal Vipulbhai Rakholiya|Meenaben Vijaybhai Dayani|Hirenkumar Vijayabhai Dayani|Gevriya Nileshkumar Bhikhubhai|Chhaganlal Vaghasia HUF|Chhagan Ramjibhai Vaghasia|Chetan C Vaghasia HUF|Bhikhabhai R Gevariya|Bhanuben Chhaganbhai Vaghasia|Arunaben Ramjibhai Patel,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ADANIENT,,INE423A01024,2026-03-31,74.67,2,0.0,0,0.0,2,0.02,1,0.0,0,0.0,0,0.0,5,0.02,58.99,15.68,15.68,0.0,Shri Gautam S. Adani/Smt.Priti G. Adani (on behalf of Gautam S. Adani Family Trust)|Gautambhai Shantilal Adani and Rajeshbhai Shantilal Adani (on behalf of S.B. Adani Family Trust)|Adani Tradeline Private Limited|Adani Properties Private Limited|Adani Infra (India) Limited|Worldwide Emerging Market Holding Limited|Spitze Trade And Investment Limited|Kempas Trade And Investment Ltd|Infinite Trade And Investment Ltd|Hibiscus Trade And Investment Ltd|Gelt Bery Trade And Investment Ltd|Flourishing Trade And Investment Ltd|Emerging Market Investment Dmcc|Ardour Investment Holding Ltd|Afro Asia Trade And Investments Limited|Rajeshbhai Shantilal Adani|Gautambhai Shantilal Adani,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ADANIGREEN,,INE364U01010,2026-03-31,62.43,4,0.01,0,0.0,3,0.02,2,0.0,0,0.0,0,0.0,9,0.03,49.06,13.37,13.37,0.0,Gautambhai Shantilal Adani and Rajeshbhai Shantilal Adani (on behalf of S.B. Adani Family Trust)|Gautambhai Shantilal Adani and Pritiben Gautambhai Adani (on behalf of Gautam S. Adani Family Trust)|Adani Trading Services Llp|Adani Tradeline Private Limited|Adani Tradeline LLP|Adani Properties Private Limited|Worldwide Emerging Market Holding Limited|Spitze Trade And Investment Limited|Infinite Trade And Investment Ltd|Hibiscus Trade And Investment Ltd|Harmonia Trade And Investment Ltd|Gelt Bery Trade And Investment Ltd|Flourishing Trade And Investment Ltd|Ardour Investment Holding Ltd|Afro Asia Trade And Investments Limited|Vanshi Rajesh Adani|Rajeshbhai  Shantilal  Adani|Rahi Rajeshkumar Adani|Gautambhai  Shantilal  Adani,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ADANIPORTS,,INE742F01042,2026-03-31,68.02,2,0.0,0,0.0,2,0.02,1,0.0,0,0.0,0,0.0,5,0.02,39.99,28.03,28.03,0.0,Rajeshbhai Shantilal Adani & Shilin Rajeshbhai Adani (on behalf of Rajesh S. Adani Family Trust)|Gautambhai Shantilal Adani & Rajeshbhai Shantilal Adani (on behalf of S. B. Adani Family Trust)|Gautambhai Shantilal Adani & Pritiben Gautambhai Adani (on behalf of Gautam S. Adani Family Trust)|Adani Tradeline Private Limited|Adani Rail Infra Private Limited|Adani  Properties  Private  Limited|Worldwide Emerging Market Holding Limited|Spitze Trade And Investment Limited|Resurgent Trade And Investment Ltd|Infinite Trade and Investment Limited|Gelt Bery Trade And Investment Ltd|Flourishing Trade And Investment Ltd|Emerging Market Investment Dmcc|Carmichael Rail And Port Singapore Holdings Pte. Ltd.|Afro Asia Trade And Investments Limited|Rajeshbhai  Shantilal  Adani|Gautambhai  Shantilal  Adani,owner_confirmed_individual_and_director,False,,,,OWNER,ok
ADANIPOWER,,INE814H01029,2026-03-31,74.96,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,47.2,27.76,27.76,0.0,GAUTAMBHAI SHANTILAL ADANI & RAJESHBHAI SHANTILAL ADANI (ON BEHALF OF S. B. ADANI FAMILY TRUST)|GAUTAMBHAI SHANTILAL ADANI & PRITIBEN GAUTAMBHAI ADANI (ON BEHALF OF GAUTAM S. ADANI FAMILY TRUST)|ADANI TRADELINE PRIVATE LIMITED|ADANI PROPERTIES PRIVATE LIMITED|WORLDWIDE EMERGING MARKET HOLDING LIMITED|HIBISCUS TRADE AND INVESTMENT LTD|FORTITUDE TRADE AND INVESTMENT LTD|FLOURISHING TRADE AND INVESTMENT LTD|EMERGING MARKET INVESTMENT DMCC|ARDOUR INVESTMENT HOLDING LTD|RAJESHBHAI  SHANTILAL  ADANI|GAUTAMBHAI  SHANTILAL  ADANI,owner_confirmed_individual,False,,,,OWNER,ok
ADVENZYMES,,INE837H01020,2025-12-31,43.04,10,1.95,5,34.39,2,1.7,2,0.16,12,0.39,0,0.0,31,38.59,0.0,6.7,6.7,0.0,Atharva Green Ecotech LLP|Advenza Global Limited|Vasant and Prabha Rathi Generation Trust|Vasant  Rathi|Reshma Namita Rathi|Rasika Vasant Rathi|Rachana Vasant Rathi|Prabhavati Vasant Rathi|Sunil Ramdayal Attal|Snehal Shamsunder Soni|Shruti Sharad Dhamdhere|Savita Chandrakumar Rathi|Radhika Ashish Pujara|Pratik Prakash Kokane|Pramila Shamsunder Soni|Piyush Chandrakumar Rathi|Payal Akshay Kulkarni|Megha  Jhawar|Madhusudan Kabra|Kishor Laxminarayan Rathi HUF|Kishor Laxminarayan Rathi|Jayesh Madhusudan Soni|Dhanyakumar Kishor Gadiya|Chandrakumar Laxminarayan Rathi|Mukund Madhusudan Kabra,owner_confirmed_individual_and_director,False,,,,OWNER,ok
AEGISLOG,,INE208C01025,2026-03-31,58.1,0,0.0,0,0.0,4,0.01,3,5.04,0,0.0,0,0.0,7,5.05,0.0,58.1,58.1,0.0,Trans Asia Petroleum Inc|Huron Holdings Limited|Asia Infrastructure Investment Ltd|Sudhir Omprakash Malhotra,excluded_no_natural_no_holding,False,,,,NOT_OWNER,ok
